池田樹雷人	Ikeda Tree Raito
卢德维克 斯沃博达	Ludvik Swoboda
馬尼拉市	Manila City
吳蒙恩	Wu Mengen
愛許蘭 肯塔基	Ashland Kentucky
戴维 麦卡利斯特	David McAllister
胡啟澳	Hu Qiao
哥倫比亞足球乙級聯賽	Colombian Football League
my盛lady	my sheng lady
鄧梓峰	Deng Zifeng
法国司法部	French Ministry of Justice
卜魯斯	Bruce
斯德哥尔摩省	Stockholm County
西莫维奇	Simovic
米高扬	Mikoyan
賀利蘭	Holeland
北辰区	Beichen District
维戈塞尔塔足球俱乐部	Vigo Celta Football Club
厦门足球俱乐部	Xiamen Football Club
秘鲁保护国	protectorate of peru
塔尔图大学	University of Tartu
鐵琴	iron piano
石原典子	Noriko Ishihara
卢博什 劳奇卡	Lubos Rauchka
力学	mechanics
縱貫線 樂團	Longitudinal Orchestra
行政長官	Chief Executive
坎特伯雷基督教會大學	Canterbury Christ Church University
陳憶幼	Chen Yiyou
艾倫 索金	Alan Sorkin
靴高斯足球会	boots gauss football club
捷克总理	Czech Prime Minister
短篇故事作家	short story writer
劉鴻鳴	Liu Hongming
青藏铁路公司	Qinghai-Tibet Railway Company
美國職業棒球大聯盟	Major League Baseball
生活大爆炸 第七季	The Big Bang Theory Season 7
道格拉斯 亞歷山大	Douglas Alexander
科隆省 巴拿馬	Colon Province Panama
俄羅斯聯邦中央銀行	Central Bank of the Russian Federation
色麻町	Seomacho
佩奧爾l	Peorl
阿尔图尔 希利温斯基	Artur Shiliwinski
洛泰爾一世 中法蘭克	Lothair I Middle Francia
塔尼特	Tanit
约翰 巴切特尔	John Batchelor
鄧斯婷	Dunsting
多姆扎萊	Domzale
阿卜杜利 文沙利	Abdulli Vin Sulli
布萊恩 萊特爾	Brian Lytle
悉尼 胡克	Sydney Hook
廣府民系	Cantonese People's Department
拉里 克拉克	Larry Clark
区委书记	District Party Secretary
伊朗总统	iranian president
阿爾伯塔大學	University of Alberta
李世勣	Li Shiji
華納兄弟電視公司	Warner Bros. Television
大金工业	daikin industry
pc 系列	pc series
函南町	Kannan-cho
瑪麗 費爾曼 托馬斯 威靈東侯爵夫人	Mary Fairman Thomas Marquise of Wellingdon
信德大学	Sindh University
托特	Toth
张玉宁 年出生	Zhang Yuning born in
黄根成	Huang Gencheng
胡安娜三世	Juana III
索尼	sony
莱山区	Lai Shan
法羅群島足球協會	Faroe Islands Football Association
安菲爾德球場	Anfield Stadium
雅蓋洛王朝	Jagiellonian Dynasty
綠光森林	green forest
暖西猜	Nuan Xichai
威廉姆斯镇 马萨诸塞州	Williamstown Massachusetts
卡尔十一世	Karl XI
史蒂夫 科尔	Steve Kerr
乔瓦尼 乔利蒂	Giovanni Giolitti
菅井直樹	Naoki Sugai
薩克拉門托	Sacramento
约翰 菲利普 萨克森 阿尔滕堡	Johann Philip Saxony Altenburg
睦答應	Mu promises
斯特凡 安德森	Stefan Anderson
布里亞特共和國	Republic of Buryatia
none 沃沙赫利克	none Wasahlik
毕碧安娜 施泰因豪斯	Bibiana Steinhaus
奧拉 杜禾倫	Ola Durham
克桑西	Xanthi
巴米尔 托皮	Bamir Topi
西班牙 罗马行省	province of rome, spain
哈利法国际体育场	Khalifa International Stadium
金亨镒	Kim Hyung-il
武汉音乐学院	Wuhan Conservatory of Music
迪特 萊特	Dieter Wright
岩崎琢	Iwasaki Taku
佩德羅一世 巴西	Pedro I Brazil
聂荣臻	Nie Rongzhen
兩妻時代	The era of two wives
南京动车运用所	Nanjing Railway Station
約瑟夫 埃斯特拉達	Joseph Estrada
三平和司	Sanpei Kazuji
安德烈 巴尤克	Andre Bayuk
羅伯特	robert
查干 奥云达里	Chagan Owendari
彼爾德伯格俱樂部	Bilderberg Club
硬派音樂	hardcore music
保罗 利尼	Paul Lini
狂熱普通話	mandarin mandarin
林夏薇	Lin Xiawei
標準列日	Standard Liege
克努特 汉姆生	Knut Hamsun
金露梅	Jin Lumei
環境食物及郊野事務大臣	secretary of state for environment, food and country affairs
派屈克 萊希	Patrick Leahy
櫻田和樹	Sakurada Kazuki
所罗门 莱夫谢茨	Solomon Lefschetz
列治 布洛斯咸	Rich Brosham
英國電影學院獎最佳女主角	BAFTA Award for Best Actress
日本乙組職業足球聯賽	Japan Second Division Professional Football League
田秋堇	Tian Qiujin
瓦爾特 馮克	Walter Funk
广州富力足球俱乐部	Guangzhou R&F Football Club
下索布语	Lower Sorbian
貴陽龍洞堡國際機場	Guiyang Longdongbao International Airport
孔迪镇	town of condi
émerson ávila	émerson ávila
托勒密五世	Ptolemy V
列王大挑戰	Kings Challenge
保罗 朗之万	Paul Langevin
乔治二世 大不列颠	George II Great Britain
瑞典旧省	old sweden province
中国中信股份有限公司	CITIC Corporation of China Limited
卡爾十六世	Karl XVI
哈尔滨国际会展中心体育场	Harbin International Convention and Exhibition Center Stadium
智利比索	Chilean Peso
甲斐バンド	Kafei Bando
鄂州市	Ezhou
梦工厂动画公司	DreamWorks Animation
伊朗足球甲級聯賽	Iranian Football League
李锡尼	Liciny
馬其頓王國	Kingdom of Macedonia
町田	Machida
大区议会 法国	Regional Council France
华盛顿州徽章	Washington State Coat of Arms
阿尔巴尼亚人民议会	Albanian People's Assembly
松山研一	Matsuyama Kenichi
夏威夷共和國	Republic of Hawaii
奧斯汀馬刺	austin spurs
圣赛尔格	saint sergue
地质构造	Geological structure
nba总决赛最有价值球员	NBA Finals Most Valuable Player
乌兹别克斯坦国家足球队	Uzbekistan national football team
雷斯威克條約	Treaty of Reswick
霍芬海姆 體育俱樂部	Hoffenheim Sports Club
达德利 赖德 第一代哈罗比伯爵	Dudley Ryder, 1st Earl of Harroby
死亡金屬	death metal
阿方索八世 卡斯蒂利亚	Alfonso VIII of Castile
金岳霖	Jin Yuelin
不列颠统治者	british ruler
美國民主黨	Democratic Party of America
菅沼駿哉	Suganuma Shunya
中国农业大学	China Agricultural University
阿布扎比	Abu Dhabi
德国的共产党	Communist Party of Germany
關島足球協會	Guam Football Association
大卫 马麦特	David Mamet
陳仁宗	Chen Renzong
中国中央电视台阿拉伯语国际频道	China CCTV Arabic International Channel
君津市	Kimitsu
神舟二号	Shenzhou II
阿爾巴尼亞甲組足球聯賽	Albanian First Division Football League
民主行动党秘书长	Secretary General of the Democratic Action Party
朝鮮睿宗	Joseon Yeejong
喬治 米德	George Mead
卢卡斯 巴里奥斯	Lucas Barrios
石破市造	Ishiba City
阿尔代什省	Ardèche
伊萬 雅庫維列夫	Ivan Yakuverev
弗拉基米尔 奥尔洛夫 政治人物	Vladimir Orlov politician
庙街	temple street
梅里達 西班牙	Merida Spain
社南里	Shenanli
史蒂芬 哈珀	Stephen Harper
約翰 拉特利奇	John Rutledge
柏祖利奴體育會	Bozulino Athletic Association
蒙特利尔皮埃尔 埃利奥特 特鲁多国际机场	Montreal Pierre Elliott Trudeau International Airport
少林寺	Shaolin Temple
仙妮亞 唐恩	Shania Twain
劉慶東	Liu Qingdong
鼓山區	Gushan District
宗教改革	Reformation
駐日美軍	US military in Japan
吹田市	Suita
波斯尼亚和黑塞哥维那政区	District of Bosnia and Herzegovina
大風水	Great Feng Shui
國立西南聯合大學	National Southwest Associated University
东南亚福建话	Southeast Asian Hokkien
塞西尔 哈姆斯沃斯 第一代哈姆斯沃斯男爵	Cecil Harmsworth, 1st Baron Harmsworth
幸田町	Koda-cho
橫山裕	Yokoyama Yu
阔阔伦	Kokorun
斯特凡 埃芬伯格	Stefan Effenberg
陳乃榮	Chen Nairong
浦那足球會	Pune Football Club
沙頭角	sha tau kok
kadıköy	kadıköy
李强	Li Qiang
西遊記 年電視劇	Journey to the West TV series
唐睿宗	Tang Ruizong
列特體育會	Leiter Athletic Association
波兰人	Polish
文斯托夫	Wenstoff
南亚语系	Austroasiatic languages
亨利 古力特	Henry Gullit
新威斯敏斯特	new westminster
哥利烏斯	Gorius
特效化妆师大对决 第三季	Special Effects Makeup Artist Showdown Season 3
隅澤克之	Yuzak
鲁杰罗二世 西西里	Ruggiero II of Sicily
時間迴旋	time loop
安永	Ernst & Young
天空藍	sky blue
约翰 弗伦奇 第一代伊普尔伯爵	John French, 1st Earl of Ypres
烏克兰文	Ukrainian
动画歌曲	animated song
軒歷基 安達迪 施華	Xuan Liji Andadi Shihua
格奥尔基 季米特洛夫	Georgy Dimitrov
诺森布里亚伯爵	Earl of Northumbria
阿尔巴尼亚国家元首列表	List of heads of state of Albania
威廉 克劳福德	William Crawford
國民生活第一	National life first
印度东部	Eastern India
中共中央政法委员会	Political and Legal Committee of the Central Committee of the Communist Party of China
亨利六世 英格兰	Henry VI England
阿图尔 达席尔瓦 贝纳德斯	Artur da Silva Bernardes
義大利入侵阿爾巴尼亞	Italian invasion of Albania
清洲城	Qingzhou City
社长	President
波爾多足球俱乐部	Bordeaux Football Club
費南度二世 葡萄牙	Fernandez II of Portugal
密歇根大学狼獾队	University of Michigan Wolverines
陈翔	Chen Xiang
達美迪斯	Delta
阮福保陞	Nguyen Phuc Baosheng
honey 王心凌專輯	honey Wang Xinling album
藍調音乐家列表	List of blues musicians
中國醫藥大學	China Medical University
飓风竞技俱乐部	Hurricane Athletic Club
蘇起	Su Qi
宏將多利安	macro dorian
鲁苏语支	Rusu branch
阿格拉	Agra
李家豪	Li Jiahao
卡姆诺克	Kamnock
韋斯卡省	Huesca Province
桑德羅 龐迪	Sandro Pondy
奥迪尔 阿赫梅多夫	Odile Ahmedov
堂安律	Tang Anlu
所罗门 班达拉奈克	Solomon Bandaranaike
伊德利卜	idlib
基督教民主和弗拉芒党	Christian Democracy and Flemish Party
米哈伊尔 阿法纳西耶维奇 布尔加科夫	Mikhail Afanasyevich Bulgakov
拉西克	Lasik
托马斯 亨利 赫胥黎	Thomas Henry Huxley
fernando navarro morán	fernando navarro morán
fcr 杜伊斯堡	fcr duisburg
丁进成	Ding Jincheng
brăila	brăila
北京爱情故事 年电视剧	Beijing love story TV series
朝鲜民主主义人民共和国外务省	Ministry of Foreign Affairs of the Democratic People's Republic of Korea
曼徹斯特市球場	Manchester City Stadium
萨斯卡通	Saskatoon
绿洲乐队	Oasis
印度搖滾	indian rock
锡金语	Sikkim
迪米特里 斯图尔扎	Dimitri Sturza
瓜生外吉	Guasheng Waiji
林登 约翰逊	Lyndon Johnson
努比亚人	Nubian
元朝君主列表	List of Yuan Dynasty monarchs
卡罗琳娜公主 两西西里	princess carolina two sicilies
理论物理学	theoretical physics
天使怪盜	angel thief
乔治 格雷	George Gray
涅尔瓦	Nerva
苏塞	Sousse
樂華娛樂	Lehua Entertainment
國立臺湾大学	National Taiwan University
中国同盟会	China Alliance
倫敦德里侯爵	marquis of londonderry
case shiller房价指数	case shiller house price index
玛丽亚 亚历山大罗夫娜女大公	Grand Duchess Maria Alexandrovna
權力	that power
阿瑟 拉弗	Arthur Laffer
路德维科一世 伊特鲁里亚	Ludwig I Etruscan
伊斯蘭國西非省	Islamic State West African Province
切爾諾夫策	Chernovtse
李发军	Li Fajun
後藤田正純	Gotota Masaru
兒玉源太郎	Kodama Gentaro
原子核殼層結構	nuclear shell structure
赫利孔唱片	Helicon Records
不列颠哥伦比亚省省长	premier of british columbia
juan carlos núñez	juan carlos núñez
伊拉克共和國電話區號	Republic of Iraq telephone area code
nová ves ostrava	nová ves ostrava
新贵人 乾隆帝	New nobleman Emperor Qianlong
恩布人	Embo
埃里克 哈姆伦	Eric Hamren
爱尔兰自由邦总督	Governor of the Irish Free State
波兰共和国副总理	Deputy Prime Minister of the Republic of Poland
高知县	Kochi Prefecture
法国总理	French Prime Minister
凡尔登战役	Battle of Verdun
艾萨克 菲德斯通	Isaac Feldstone
崔麗心	Cui Lixin
亞希爾 沙赫拉尼	Yasser Shahrani
卢旺达议会	Rwanda Parliament
林瑞輝	Lin Ruihui
人工智能	artificial intelligence
市議會	City Council
艾伯特 格雷 第四代格雷伯爵	Albert Grey, 4th Earl Grey
吳市	Kure
克來蒙研究大學	Clermont Research University
sidi bel abbès	sidi bel abbès
亨利 马蒂斯	Henri Matisse
白文傑	Bai Wenjie
慶長琉球之役	Battle of Qingchang Ryukyu
黯黑史詩	dark epic
湯馬士 彭利拿	Thomas Penlina
黃大洲	Huang Dazhou
盖革计数器	Geiger counter
吉米 戴尔夏	Jimmy Delshay
日惹特区	Yogyakarta Special Region
漢斯 安特列臣	Hans Antrechen
济州联	Jeju United
鮫川村	Shagawamura
堀河紀子	Horikawa Noriko
王弗明	Wang Fuming
影片分享網站	video sharing site
天浴	day bath
帕特里克 莱希	Patrick Leahy
電擊文庫	Shock Library
索菲婭公主 英國	princess sophia uk
彼得保罗主教座堂	Peter and Paul Cathedral
坎伯兰公爵	Duke of Cumberland
尤哈 西皮莱	Juha Sipilay
瑞士首都球場	swiss capital stadium
王山之战	Battle of King Mountain
新西蘭國家足球隊	new zealand national football team
包头市	Baotou
奧沙辛拿b隊	Osasina b team
中华人民共和国国务院机构编制	Prepared by the State Council of the People's Republic of China
結城真一	Yuki Shinichi
彌陀區	Amitabha District
奥腾斯泰因	Ottenstein
法国民主联盟	French Democratic Union
mark webber 吉他手	mark webber guitarist
静岡県立清水東高等学校	Shizuoka Prefectural Shimizu East High School
罗马尼亚陆军	Romanian Army
大山啟輔	Oyama Keisuke
公学	public school
大鬧廣昌隆 電視劇	Make trouble in Guangchanglong TV series
波爾 尼魯普 拉斯穆森	Pol Nerup Rasmussen
玛丽 格雷	Mary Gray
馬來西亞盃	Malaysia Cup
費倫斯華路士體育會	ferrence walrus sports club
東森戲劇台	Eastwood Theatre
巴貝多獨立日	Barbados Independence Day
大不列顛島	Great Britain
全國城市足球聯賽	National City Football League
josé alberto garcía	josé alberto garcía
老挝总理	Prime Minister of Laos
咸宜帝	Emperor Xianyi
喬治 巴代伊	George Badei
约瑟夫 莱昂斯	Joseph Lyons
雪佛龍	Chevron
阿里 卡菲	Ali Kafi
醇親王	Prince of Alcohol
伊万 什尼尔茨	Ivan Schniltz
none 行政院組織法	none Executive Yuan Organic Law
伊比利亚 罗曼语支	Iberian Romance
安那托利亞搖滾	Anatolian Rock
盎格鲁 弗里西语组	Anglo Frisian group
一关市	Ichinoseki
锡诺普	Sinop
丹麥 歲以下國家足球隊	Denmark under-year national football team
萊斯特大學	University of Leicester
烏克蘭族	Ukrainian
詹姆斯 霍纳	James Horner
陳憲宗	Chen Xianzong
切爾諾夫策州	Chernivtsi Region
集体安全	collective security
弗朗茨 卡夫卡	Franz Kafka
藍貴人	blue lady
伏尔加格勒	volgograd
海豚	dolphin
原宿站	Harajuku Station
马扎尔人	Magyars
楊月花	Yang Yuehua
海南岛	Hainan Island
阿斯塔納	Astana
南达科他州	South Dakota
马克 吐温	Mark Twain
桂圓造型藝術大學	Longan University of Fine Arts
黨委書記	Secretary of the Party Committee
幸運杜塞爾多夫	lucky dusseldorf
拉玛四世	Rama IV
澳門總督	Governor of Macau
夏尔 施皮纳塞	Charles Spinase
郭和夫	Guo Hefu
林迈可	Michael Lin
草津温泉	Kusatsu Onsen
francisco javier ramírez acuña	francisco javier ramírez acuña
全国人民代表大会会议主席团	Presidium of the National People's Congress
民主共和党联盟	Democratic-Republican Union
兰银官话	Lanyin Mandarin
arne sandstø	arne sandstø
connétable	connétable
池上禮一	Reiichi Ikegami
底特律	Detroit
泛希腊社会主义运动	panhellenic socialist movement
赫爾大學	University of Hull
阿賀野市	Agano City
祖安奧列治	zaan orange
丸橋祐介	Marubashi Yusuke
英国最高法院	UK Supreme Court
卡佩王朝	Capetian dynasty
西奥多 罗斯福	Theodore Roosevelt
長田開藏	Nagata Kaizo
影山浩宣	Kageyama Hiroshi
马哈奇 加吉耶夫	Makhach Gajiyev
辛島啓珠	Xindao Kaizhu
桃園車站 高鐵	Taoyuan Station High Speed ​​Rail
特普利采足球俱樂部	Teplice Football Club
苏美尔	Sumer
紐卡斯尔市议会	Newcastle City Council
马克	mark
【国家重点项目	【National key projects
葛列格 金巴斯	Greg Kimbas
程顥	Cheng Hao
終極x宿舍	ultimate x dorm
大同足球隊	Datong Football Team
斯金納	Skinner
塞舌爾群島總督	Governor of the Seychelles
靈幻小子	phantom boy
亨利 瓦鲁瓦	Henry Valois
埃阿喀得斯王朝	Academia
卡斯蒂利亚的布兰卡	Blanca of Castile
凱恩斯 昆士蘭州	Cairns Queensland
柳營區	Liuying District
阿部勇樹	Isamuki Abe
红树科	Mangrove
缅甸总统	President of Myanmar
恩斯特 哈佩爾球場	Ernst Happel Stadium
樸茨茅斯足球俱樂部	Portsmouth Football Club
约翰 丹福斯	John Danforth
明故宫	Ming Palace
恒星核合成	stellar nucleosynthesis
荷蘭騎士大十字橙為拿索勛章	Dutch Knight Grand Cross Orange is the Order of Nassau
grégory arnolin	grégory arnolin
广东日之泉足球俱乐部	Guangdong Rizhiquan Football Club
何雍堅	He Yongjian
伊丽莎白一世 英格兰	Elizabeth I of England
孙一凡	Sun Yifan
none 克瓦皮尼斯基	none Kwapinski
第三次阿都拉内阁	Third Abdullah Cabinet
第二代康诺及斯特拉森公爵阿莱斯泰尔 温莎	Aleister Windsor, 2nd Duke of Connor and Strathear
德宏傣族景颇族自治州	Dehong Dai and Jingpo Autonomous Prefecture
阮福宝禄	Nguyen Phuc Bao Loc
智利国家足球队	Chile National Football Team
祐子内親王	Prince Yuko
李寧 明朝	Li Ning Ming Dynasty
特罗尔	Troll
玛丽 蕾捷斯卡	Marie Rejeska
克里斯蒂安 本特克	Christian Benteke
伦敦	London
鈴木朝資	Suzuki Chaozi
馬尼拉雅典耀大學	Ateneo de Manila University
李景田	Li Jingtian
希臘復興式建築	greek revival architecture
伊蒂哈德足球俱樂部	Etihad Football Club
sr 黑鳥式偵察機	sr blackbird reconnaissance aircraft
柏柏尔人	Berbers
石渡康浩	Shidu Kanghao
張惠建	Zhang Huijian
舒畅	comfortable
杰克入局	Jack enters
看門狗 遊戲	watchdog game
哈羅區	Harrow District
蔡一傑	Cai Yijie
蒋祝平	Jiang Zhuping
马杜赖	Madurai
迈克尔 奥洛沃坎迪	Michael Olowokandi
