ロック (音楽)	rock (music)
ソユーズtm-31	soyuz tm-31
ポーター・ロビンソン	porter robinson
ジェイダ・ピンケット＝スミス	Jada Pinkett-Smith
アンドロス島 (ギリシャ)	Andros (Greece)
鈴鹿市	Suzuka
ファーガス郡 (モンタナ州)	Fergus County, Montana
フォード郡 (テキサス州)	Ford County (Texas)
キコ・カシージャ	Kiko Casilla
テムズ川	River Thames
ジョージ・スペンサー＝チャーチル (第8代マールバラ公)	George Spencer-Churchill (8th Duke of Marlborough)
グラン浜田	Grand Hamada
winter love	winter love
イアン・ヒル	Ian Hill
ウィリアムズ・fw29	williams fw29
釜山駅	Busan Station
スペルサーノ	Supersano
上海虹口足球場	shanghai hongkou football stadium
ジェン・サキ	Jen Saki
リッチランド郡 (サウスカロライナ州)	Richland County, South Carolina
弱虫ペダル	Yowamushi Pedal
デヴィッド・アークエット	David Arquette
ポートランド・ティンバーズ	portland timbers
丸亀市	Marugame City
トッド・ギレス	Todd Gilles
ifエルフスボリ	if elf subori
イタリア社会党 (2007-)	Italian Socialist Party (2007-)
マナティ郡 (フロリダ州)	Manatee County, Florida
ufc 90	ufc90
武漢市	Wuhan City
本田技研工業フットボールクラブ	Honda Motor Football Club
ヌヴォレント	Nuvolent
プレストン (イングランド)	Preston (England)
アラパホ郡 (コロラド州)	Arapahoe County, Colorado
スカイラー郡 (イリノイ州)	Schuyler County, Illinois
ペニントン郡 (サウスダコタ州)	Pennington County, South Dakota
ウォード郡 (ノースダコタ州)	Ward County, North Dakota
フジファブリック	Fuji Fabric
チカソー郡 (ミシシッピ州)	Chickasaw County (Mississippi)
アルフレッド・アドラー	Alfred Adler
モルデハイ・シュピーグラー	mordechai spiegler
サンフランシスコ・ジャイアンツ	San Francisco Giants
ufc 75	ufc75
アベンジャーズ/エイジ・オブ・ウルトロン	Avengers: Age of Ultron
シロス島	Syros
スロウ (カイリー・ミノーグの曲)	Slow (Kylie Minogue song)
ギオルギ・マルグヴェラシヴィリ	Giorgi Margvelashvili
深い森	Deep woods
オルガ (ギリシャ王妃)	Olga (Queen of Greece)
コートニー・ラブ	courtney love
ヴェダド・イビシェヴィッチ	Vedad Ibisevic
幸せのノック	happy knock
fkヴォイヴォディナ・ノヴィサド	fk Vojvodina Novi Sad
センテニアル (コロラド州)	Centennial (Colorado)
パイク郡 (ミズーリ州)	Pike County, Missouri
kamijo	kamijo
say anything	say anything
マイン・ランの戦い	Battle of Mine Run
caペニャロール	ca peñarol
wec 46	wec 46
ワディ・ワクテル	Waddy Wachtel
ソユーズ37号	Soyuz 37
美しき人生	beautiful life
フェイント (リンキン・パークの曲)	Feint (Linkin Park song)
sts-127	sts-127
スポケーン郡 (ワシントン州)	Spokane County (Washington State)
カントリー娘。	country girl.
ペンダー郡 (ノースカロライナ州)	Pender County, North Carolina
石川県	Ishikawa Prefecture
perfume〜complete best〜	perfume〜complete best〜
ホセ・マルティネス・サンチェス	Jose Martinez Sanchez
ボタフォゴfc (サンパウロ州)	botafogo fc (state of sao paulo)
outgrow	outgrow
アマースト (マサチューセッツ州)	Amherst (Massachusetts)
ブアソーン・ブッパーヴァン	Boorthorn Buppervan
タク州市	Tak State City
glay	gray
パフラヴィー朝	Pahlavi dynasty
ムスタファ・アクンジュ	Mustafa Akunju
ユオザス・オレカス	Yuozas Orekas
ピョートル・クロポトキン	Peter Kropotkin
リッチモンド郡 (ノースカロライナ州)	Richmond County (North Carolina)
渡辺喜美	Kimi Watanabe
ジョアキン・アルベルト・シサノ	Joaquin Alberto Chissano
ロバート・シラー	Robert Shiller
メジャーリーグベースボール	major league baseball
ウォルトン郡 (ジョージア州)	Walton County, Georgia
貴方だけを愛して (アルバム)	love only you (album)
罪と罰 (椎名林檎の曲)	Crime and Punishment (Shiina Ringo song)
イオニア海	ionian sea
スカイラー郡 (ミズーリ州)	Schuyler County, Missouri
blue bird (浜崎あゆみの曲)	blue bird (song by Ayumi Hamasaki)
マウリシオ・イスラ	Mauricio Isla
rcストラスブール	rc strasbourg
江〜姫たちの戦国〜	Gou ~Princess Sengoku~
ジョン・g・パーク	John G. Park
ステルナティーア	Sternatia
呪文-mirotic-	spell -mirotic-
カウリー郡 (カンザス州)	Cowley County, Kansas
ゲイリー・ブルッカー	Gary Brooker
アンドリス・ベールジンシュ (ラトビアの大統領)	Andris Berzinsch (President of Latvia)
linuxカーネル	linux kernel
ジョー・リン・ターナー	Joe Lynn Turner
make my day (倉木麻衣の曲)	make my day (song by Mai Kuraki)
fairyland (浜崎あゆみの曲)	fairyland (song by Ayumi Hamasaki)
グロスタシャー	Gloucestershire
セネカ郡 (ニューヨーク州)	Seneca County, New York
プラスキ郡 (アーカンソー州)	Pulaski County, Arkansas
元明天皇	Emperor Genmei
富山県総合運動公園陸上競技場	Toyama Comprehensive Athletic Park Athletic Stadium
the alfee	the alfee
ベニー・ゴルソン	Benny Golson
コルサ郡 (カリフォルニア州)	Colusa County, California
フェイス (セリーヌ・ディオンの曲)	Face (Celine Dion song)
クビライ	Kublai
ウルフ・メルボルト	wolf melboldt
ゼイ・ドント・ケア・アバウト・アス	They Don't Care About Us
ソン・サン	Son San
mongol800	mongol800
グレーテスト・ヒット第3集 (アルバム)	Greatest Hits Vol.3 (album)
エンゼル・スタジアム・オブ・アナハイム	Angel Stadium of Anaheim
トマス・パウナル	Thomas Pownall
夢のチカラ	dream power
テイズウェル郡 (イリノイ州)	Tazewell County, Illinois
平岡秀夫	Hideo Hiraoka
fcパフタコール・タシュケント	fc Pakhtakor Tashkent
ソユーズ21号	Soyuz 21
ベルベル人	Berber people
第29次長期滞在	29th long-term stay
シュライヒャー郡 (テキサス州)	Schleicher County (Texas)
カーター郡 (ミズーリ州)	Carter County, Missouri
a walk in the park	a walk in the park
ライズ・レコード	rise record
ウィンストン郡 (ミシシッピ州)	Winston County, Mississippi
愛するだけでよかったら	If only I could love you
黒田清子	Kiyoko Kuroda
第6軍 (日本軍)	6th Army (Japanese Army)
スパチャラサイ国立競技場	Suphachalasai National Stadium
奇誠庸	Strange
マリオン郡 (ウェストバージニア州)	Marion County, West Virginia
徳川茂徳	Tokugawa Shigenori
カンボジア内戦	Cambodian civil war
ヴァン・ダイク・パークス	van dyke parks
ウィリアムズ・fw21	williams fw21
アストラッド・ジルベルト	Astrud Gilberto
ジェイムズ・ゲアリド	James Garrard
ランダー郡 (ネバダ州)	Lander County, Nevada
judy and mary	judy and mary
スルモーナ	Sulmona
ブーン郡 (アイオワ州)	Boone County, Iowa
アレクサンドラ・フォン・ハノーファー (1882-1963)	Alexandra von Hanover (1882-1963)
マーザンダラーン語	Mazandaran language
ジェイド・ノース	Jade North
デュプリン郡 (ノースカロライナ州)	Duplin County, North Carolina
クライ (マイケル・ジャクソンの曲)	Cry (Michael Jackson song)
次なる戦いへ	to the next battle
miwa	miwa
コップ座	cup seat
フェンダー・ムスタング	fender mustang
ゴードン・クーパー	Gordon Cooper
アトレチコ・パラナエンセ	Atlético Paranaense
第14次長期滞在	14th long-term stay
リーチ・アウト	reach out
アルジャー郡 (ミシガン州)	Alger County, Michigan
ビントン郡 (オハイオ州)	Vinton County, Ohio
エンリケ・バロン・クレスポ	Enrique Baron Crespo
growing of my heart	growing of my heart
フランクリン・ブキャナン	Franklin Buchanan
アグスティン・デ・イトゥルビデ	Agustín de Iturbide
サンフアン郡 (ワシントン州)	San Juan County, Washington
マルケルス2世 (ローマ教皇)	Marcellus II (Pope)
英領ゴールド・コースト	British Gold Coast
ターヴィ・ロイヴァス	Tavi Roivas
シー・ルックス・ソー・パーフェクト (ファイヴ・セカンズ・オブ・サマーの曲)	She Looks So Perfect (5 Seconds of Summer song)
長良川	Nagara River
ミシェル・オバマ	Michelle Obama
船谷圭祐	Keisuke Funatani
サン＝ジェルマン条約	Treaty of Saint-Germain
フィリップス郡 (アーカンソー州)	Phillips County, Arkansas
caフェニックス	ca phoenix
fcダラス・スタジアム	fc dallas stadium
surreal	surreal
サンダーズ郡 (モンタナ州)	Sanders County, Montana
北スマトラ州	north sumatra
カルムイク共和国	Republic of Kalmykia
楠瀬幸彦	Yukihiko Kusunose
ホートン郡 (ミシガン州)	Houghton County, Michigan
貴州省	Guizhou
近衛篤麿	Atsumaro Konoe
モートン郡 (ノースダコタ州)	Morton County, North Dakota
フー・イズ・イット	Who Is It
カーソン郡 (テキサス州)	Carson County (Texas)
ノダリー・マイスラーゼ	Nodalie Meisrase
七色の明日 〜brand new beat〜/your color	Nanairo no Ashita ~brand new beat~/your color
グローバルfc	global fc
デイモン・ヒル	damon hill
グロッターリエ	Grottaglie
ニューヨーク市地下鉄	new york city subway
ホセ・ロペス・ポルティーヨ	Jose Lopez Portillo
タチヤナ・ノヴィク	Tatyana Novik
ビクトリア郡 (テキサス州)	Victoria County (Texas)
アルプス山脈	alps
ラヴ・エイント・ヒア・エニモア	Love Ain't Here Anymore
エンゲルベルト・ドルフース	Engelbert Dolfus
miss a	miss a
バニョーリ・イルピーノ	Bagnoli Irupino
徳川家定	Iesada Tokugawa
東久邇聡子	Higashikuni Satoko
田辺治通	Harumichi Tanabe
第3回20か国・地域首脳会合	3rd Summit of 20 Countries and Regions
ヘンリー郡 (ジョージア州)	Henry County, Georgia
ブラックプール	blackpool
necナイメヘン	nec Nijmegen
静岡県小笠山総合運動公園スタジアム	Shizuoka Prefecture Ogasayama Sports Park Stadium
好きで、好きで、好きで。/あなただけが	I like it, I like it, I like it / only you
do the a-side	do the a-side
フォンデュラク郡 (ウィスコンシン州)	Fond du Lac County, Wisconsin
ソユーズt-3	soyuz t-3
ガエターノ・マルティーノ	Gaetano Martino
ピーターバラ	peterborough
プラスチックス	plastics
リベリアン・ガール	liberian girl
ボスニア・ヘルツェゴビナ連邦	Federation of Bosnia and Herzegovina
ヘンダーソン郡 (イリノイ州)	Henderson County, Illinois
ufc 111	ufc 111
大統合民主新党	United New Democratic Party
ホルヘ・リベラ (プロレスラー)	Jorge Rivera (professional wrestler)
エレクトリックボーイ	electric boy
プレイ・ザ・ゲーム	play the game
break out! (東方神起の曲)	break out! (Tohoshinki's song)
エドゥアルド・フレイ・ルイスタグレ	Eduardo Frey Luistagle
カーズ (バンド)	Cars (band)
こと座	Lyra
マコーン郡 (モンタナ州)	McCone County, Montana
dspメディア	dsp media
ランディ・ブレッカー	Randy Brecker
ネオショ郡 (カンザス州)	Neosho County, Kansas
禁断の刺青	forbidden tattoo
ハイファイ メッセージ	hifi message
ジョン・ハーサニ	John Harsanyi
シンプソン郡 (ミシシッピ州)	Simpson County (Mississippi)
promise/star	promise/star
トッレブルーナ	Torre Bruna
フーラッド・モバラケ・セパハンfc	Phulad Mobarake Sepahan fc
ユヴェントス・スタジアム	juventus stadium
ゴギービック郡 (ミシガン州)	Gogevic County, Michigan
ベンガル太守	Lord of Bengal
コディントン郡	Coddington County
マッカルモント&バトラー	Mccalmont & Butler
トーベイ	Torbay
ボストン (バンド)	boston (band)
コリアー郡 (フロリダ州)	Collier County, Florida
ドーソン郡 (ジョージア州)	Dawson County, Georgia
アイ・ウォント・イット・ザット・ウェイ	I Want It That Way
シエラ郡 (カリフォルニア州)	Sierra County (California)
アダムズ郡 (オハイオ州)	Adams County, Ohio
ガバヌーア・モリス	Governor Morris
ロブ・トーマス	Rob Thomas
スウォンジー	Swansea
ufc 110	ufc 110
misia single collection 5th anniversary	misia single collection 5th anniversary
オンタリオ郡 (ニューヨーク州)	Ontario County (New York State)
サムター郡 (アラバマ州)	Sumter County, Alabama
マティーノ	Martino
マリア・テレサ (ルクセンブルク大公妃)	Maria Teresa (Grand Duchess of Luxembourg)
長勢甚遠	Nagase Jinfar
ヴェルサイユ	Versailles
イーゾラ・デル・グラン・サッソ・ディターリア	Isola del Gran Sasso d'Italia
サバラガムワ州	Sabaragamuwa Province
オーシャンボーン	ocean bone
チャールズ・フランシス・アダムズ (3世)	Charles Francis Adams (III)
ペトロポリス	Petropolis
ウィリアム・プレストン (海軍長官)	William Preston (Secretary of the Navy)
シェマング郡 (ニューヨーク州)	Chemung County, New York
シカゴ (バンド)	chicago (band)
イーストランド郡 (テキサス州)	Eastland County (Texas)
サブタレニアン・ホームシック・ブルース	subterranean homesick blues
ベイビーシャンブルズ	babyshambles
いるか座	Iruka
トーントン	Taunton
ろ座	Fornax
オーヴィル・ロスロップ・フリーマン	Orville Lothrop Freeman
ワットコム郡 (ワシントン州)	Whatcom County, Washington
bsd	bsd
とけい座	Taurus
ドゥール郡 (サウスダコタ州)	Doule County, South Dakota
フレデリク3世 (デンマーク王)	Frederick III (King of Denmark)
